Feature,Coef_Dropout,Coef_Enrolled,Coef_Graduate
Daytime/evening attendance,0.05944958018032269,0.03275859295802793,-0.09220817313835135
Displaced,0.1284742275900014,-0.03691172662577442,-0.09156250096423119
Educational special needs,-0.008567353626556392,0.006975610641427753,0.0015917429851271898
Debtor,0.1486706225741729,0.08396837507567617,-0.23263899764985024
Tuition fees up to date,-0.597641347335673,0.07950755196404649,0.5181337953716258
Gender,0.1669536001449911,-0.040848734518012936,-0.12610486562698114
Scholarship holder,-0.11122619280461052,-0.13109147314081177,0.2423176659454253
International,-0.06254832523879313,0.03557703660050855,0.02697128863828149
Previous qualification (grade),0.03101276253754392,-0.03715235325841921,0.006139590720876833
Admission grade,-0.012730103309413376,-0.03581504696394535,0.04854515027335765
Age at enrollment,0.13773634072145238,-0.055323912796442144,-0.08241242792500578
Unemployment rate,0.2751937812530755,-0.19967704686570228,-0.0755167343873738
Inflation rate,-0.023528974580456496,0.029423475810670997,-0.005894501230214982
GDP,0.054724091414852835,-0.03205643936488709,-0.02266765204996618
Curricular units 1st sem (credited),0.3875514444118983,-0.13024326489545032,-0.2573081795164486
Curricular units 1st sem (enrolled),0.8746297177139286,0.655139633868703,-1.5297693515826352
Curricular units 1st sem (evaluations),-0.3018861743732499,-0.22363975597412789,0.5255259303473795
Curricular units 1st sem (approved),-1.5400729904704678,-0.6478127278468961,2.187885718317361
Curricular units 1st sem (grade),-0.3519226483410618,-0.2986815241053203,0.6506041724463799
Curricular units 1st sem (without evaluations),-0.17109181701361204,0.0028046510277706196,0.1682871659858434
First_Sem_Approval_Rate,0.09884695797083398,-0.35866002946144077,0.25981307149061195
First_Sem_Completion_Rate,-0.22583222392522875,0.5718520396943949,-0.3460198157691644
First_Sem_Evaluation_Rate,0.17441379514318306,0.40417151687152436,-0.5785853120147167
Marital status_1,0.16887912080764486,-0.05086195241950806,-0.11801716838813418
Marital status_2,0.07776901232245982,-0.22043759648823325,0.14266858416577355
Marital status_3,-0.27595700415333424,0.08963822777133877,0.18631877638199423
Marital status_4,-0.3857450391048684,0.05194940281312336,0.33379563629174286
Marital status_5,0.07422832923822963,-0.37399706296651714,0.29976873372828594
Marital status_6,0.350122190193022,0.37498438484372937,-0.725106575036754
Application mode_1,-0.029995848207420753,-0.04687132208022515,0.07686717028764709
Application mode_2,-0.10427402565885127,-0.18148027873013442,0.2857543043889853
Application mode_5,-0.20828258601975275,0.7425097490725175,-0.534227163052766
Application mode_7,0.567351199152224,-0.23581983023425357,-0.3315313689179753
Application mode_10,0.3412988825174772,-0.7553482319933518,0.41404934947586536
Application mode_15,-1.1208904635892727,-0.25569881118616156,1.376589274775454
Application mode_16,-0.3184219495273504,0.12622454078089881,0.19219740874645008
Application mode_17,0.13796594825760905,-0.11301720167532511,-0.02494874658228406
Application mode_18,0.24098045908286223,-0.47871867756111347,0.23773821847825102
Application mode_26,0.07810916308341304,-0.0019811538970088967,-0.07612800918640437
Application mode_27,0.38413628406312744,-0.0014933135421176598,-0.38264297052101093
Application mode_39,0.27409807132865993,-0.040265120959350545,-0.2338329503693102
Application mode_42,0.5215016156869127,-0.3119402667875438,-0.2095613488993686
Application mode_43,-0.12280429003115206,0.4292076382103583,-0.3064033481792041
Application mode_44,-0.33158131186686035,0.5396152876337446,-0.2080339757668853
Application mode_51,0.139685974906042,-0.0048242089357567065,-0.13486176597028413
Application mode_53,-0.2983987179627269,0.6769910958011983,-0.3785923778384745
Application mode_57,-0.1411817959117794,-0.215814490362452,0.35699628627423463
Application order_0,-0.0022114602616113825,-0.0019901931165089044,0.004201653378120284
Application order_1,-0.10648718038613937,0.17518554566104536,-0.06869836527490322
Application order_2,-0.10801637012153412,-3.099498725534127e-05,0.10804736510879002
Application order_3,0.08363818841096914,0.1667145707655518,-0.25035275917652094
Application order_4,0.05416338982561017,-0.2521132049815455,0.19794981515593513
Application order_5,0.027965642019849926,-0.191055385102536,0.16308974308268406
Application order_6,0.25645314199343017,-0.5070587645282199,0.2506056225347903
Application order_9,-0.1962087421774188,0.48162382984340285,-0.2854150876659843
Course_33,0.17282478739945945,0.4874247540956344,-0.6602495414950968
Course_171,-1.1370954822743522,0.3799279094859285,0.7571675727884202
Course_8014,-0.17711960950754402,-0.06508359670728923,0.24220320621483266
Course_9003,-0.48860725817691936,-0.19206457686167458,0.6806718350385924
Course_9070,-0.08792517150811562,0.1631012902101974,-0.0751761187020808
Course_9085,-0.13633018586507908,-0.1648774528108385,0.30120763867592
Course_9119,-0.015443113665192975,0.8647448374265442,-0.8493017237613537
Course_9130,0.7124120843880207,-0.7177667559675092,0.0053546715794910524
Course_9147,-0.23804489451759053,0.1425088828111566,0.0955360117064355
Course_9238,-0.32057085931464435,-0.5086498579219578,0.8292207172366026
Course_9254,0.41191801045989546,-0.27760168808912417,-0.13431632237077304
Course_9500,-0.13028131673704868,0.09055617107230574,0.03972514566474337
Course_9556,0.2338201156197441,-0.09869587995835281,-0.13512423566139242
Course_9670,-0.07562491347993607,-0.06837049791269366,0.1439954113926295
Course_9773,0.23783247150568493,-0.2373550387389728,-0.0004774327667120395
