Model,Dropout Precision,Dropout Recall,Dropout F1
Logistic Regression (Default),0.7843866171003717,0.7429577464788732,0.7631103074141049
Random Forest (Default),0.7508771929824561,0.7535211267605634,0.7521968365553603
Random Forest (Balanced),0.7983870967741935,0.6971830985915493,0.7443609022556391
XGBoost,0.7556390977443609,0.7077464788732394,0.730909090909091
Logistic Regression (Balanced),0.7768924302788844,0.6866197183098591,0.7289719626168224
Decision Tree (Default),0.752895752895753,0.6866197183098591,0.7182320441988951
Decision Tree (Balanced),0.7203389830508474,0.5985915492957746,0.6538461538461539
