Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,ROC-AUC
Random Forest (Balanced),0.7389830508474576,0.6927759110689524,0.6930648462905267,0.6898134365760163,0.7448031878352125,0.8649782973153242
Logistic Regression (Default),0.7446327683615819,0.6822790699952491,0.6566520793944157,0.6634985617857012,0.7318767635388428,0.8616937514970903
Logistic Regression (Balanced),0.7028248587570621,0.6684518690335928,0.6730425859367098,0.6634702339378563,0.7154701728421268,0.8587383482189579
XGBoost,0.727683615819209,0.6583628301523038,0.6424865393734099,0.6474624540821724,0.7180021010615425,0.8644418426150655
Random Forest (Default),0.7446327683615819,0.6717158340375261,0.6297227095557589,0.6277854542672959,0.7149596263565474,0.8662756034879634
Decision Tree (Default),0.7062146892655368,0.6241035002342569,0.6081906170891805,0.6113706571331923,0.6917436896853386,0.8015262966785528
Decision Tree (Balanced),0.6463276836158192,0.6279861359208737,0.6235038793620026,0.611091652376056,0.6668530806300983,0.7975855432163103
